coc_number,coc_name,coc_category,total_homeless,es_beds,rrh_beds,psh_beds,population,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
AK-500,Anchorage CoC,Other Largely Urban CoC,1760,950,256,720,299321,58.79975010106207,24.054443223161755,8.552690923790847,31.738501475005094
AK-501,Alaska Balance of State CoC,Largely Rural CoC,854,847,105,385,437534,19.518483135024933,8.799316167429273,2.399813500207984,19.358495568344402
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,847,424,179,1399,951623,8.900583529401874,14.701199949980191,1.88099699145565,4.455545946241316
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,670,252,173,241,613801,10.915589906174803,3.9263539811763093,2.8185030653257326,4.105565158740373
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,195,86,0,0,266276,7.323228529796151,0,0,3.22973155673061
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,646,399,9,154,559785,11.54014487705101,2.751056209080272,0.16077601221897692,7.127736541707977
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,345,169,14,168,384515,8.972341781204895,4.36914034563021,0.3640950288025175,4.395147133401818
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,82,90,0,282,202471,4.049962710709187,13.927920541707207,0,4.4450810239491085
AL-507,Alabama Balance of State CoC,Largely Rural CoC,283,159,24,4,1523472,1.8575989581692345,0.026255815663169393,0.15753489397901635,1.0436686726109832
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,773,314,107,966,586996,13.16874390966889,16.45667091428221,1.8228403600705967,5.349269841702498
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,436,163,49,203,514338,8.476915957988716,3.9468209620910764,0.9526809218840528,3.1691222503489924
AR-503,Arkansas  Balance of State  CoC,Largely Rural CoC,871,715,98,0,858639,10.143960383816713,0,1.141341122404177,8.327131658357004
AR-505,Southeast Arkansas CoC,Largely Rural CoC,86,103,0,12,307730,2.7946576544373314,0.3899522308517207,0,3.347089981477269
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,2386,890,672,1541,1631977,14.620304085167867,9.442535035726607,4.117705090206541,5.45350822958902
AZ-501,Tucson/Pima County CoC,Major City CoC,2209,785,641,1617,1003338,22.016508893314118,16.116204110678556,6.388674604171276,7.82388387562317
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,9642,4019,1602,6639,4093262,23.55578509267181,16.21933802429456,3.9137489855279237,9.818575014255133
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,9903,2376,1407,4365,1885056,52.53424831941332,23.155810755754736,7.463969240171114,12.604400081482991
CA-501,San Francisco CoC,Major City CoC,7582,3350,1641,5725,850282,89.17041640302864,67.3306032586836,19.299479466812187,39.398693609884724
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,9759,2276,1198,5257,1605217,60.795518612125335,32.74946627153837,7.463165416264592,14.178768353437572
CA-503,Sacramento City & County CoC,Major City CoC,9281,2026,933,3553,1479300,62.739133373893054,24.018116676806596,6.307037112147638,13.695666869465288
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,2266,855,494,1211,497776,45.522484008871466,24.32821188647102,9.924142586223523,17.17640063000225
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,2372,564,294,1325,1107925,21.40939142992531,11.95929327346165,2.6536092244511136,5.090597287722544
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,2212,532,183,614,488252,45.304473919205655,12.575473321153831,3.748064524057249,10.896012714745664
CA-507,Marin County CoC,Largely Suburban CoC,1118,192,141,658,259358,43.106439747376214,25.370337525736627,5.436500898372135,7.402894840336524
