coc_number,population
AK-500,299321
AK-501,437534
AL-500,951623
AL-501,613801
AL-502,266276
AL-503,559785
AL-504,384515
AL-505,
AL-506,202471
AL-507,1523472
AR-500,586996
AR-501,514338
AR-503,858639
AR-504,357191
AR-505,307730
AR-508,
AR-512,102685
AZ-500,1631977
AZ-501,1003338
AZ-502,4093262
CA-500,1885056
CA-501,850282
CA-502,1605217
CA-503,1479300
CA-504,497776
CA-505,1107925
CA-506,488252
CA-507,259358
CA-508,270931
CA-509,87409
CA-510,530561
CA-511,714860
CA-512,754748
CA-513,606030
CA-514,1116526
CA-515,469210
CA-516,313187
CA-517,140823
CA-518,429596
CA-519,223877
CA-520,265001
CA-521,209671
CA-522,135182
CA-523,62517
CA-524,169303
CA-525,183000
CA-526,153259
CA-527,63015
CA-529,64076
CA-530,33561
CA-600,9246562
CA-601,3253356
CA-602,3132211
CA-603,439395
CA-604,871337
CA-606,475317
CA-607,137381
CA-608,2323892
CA-609,2106754
CA-611,843110
CA-612,197895
CA-613,178807
CA-614,278680
CO-500,1683718
CO-503,2997276
CO-504,665171
CT-503,857728
CT-505,2736355
DC-500,659009
DE-500,934695
FL-500,751422
FL-501,1323059
FL-502,939548
FL-503,637691
FL-504,613723
FL-505,257326
FL-506,437469
FL-507,2010922
FL-508,412544
FL-509,592070
FL-510,1178423
FL-511,473477
FL-512,218362
FL-513,560683
FL-514,340341
FL-515,301679
FL-517,252514
FL-518,134955
FL-519,488310
FL-520,748425
FL-600,2664418
FL-601,1863780
FL-602,169642
FL-603,680970
FL-604,77146
FL-605,1398757
FL-606,348236
GA-500,453856
GA-501,6847767
GA-502,577110
GA-503,122037
GA-504,201418
GA-505,258939
GA-506,728388
GA-507,282613
GA-508,693150
GU-500,
HI-500,426583
HI-501,986999
IA-500,123123
IA-501,2438112
IA-502,472853
ID-500,425798
ID-501,1209685
IL-500,300995
IL-501,342552
IL-502,728734
IL-503,206420
IL-504,266759
IL-506,800973
IL-507,397388
IL-508,273315
IL-509,104458
IL-510,2716350
IL-511,2499324
IL-512,533328
IL-513,198639
IL-514,917342
IL-515,403649
IL-516,108404
